x	        y_upper		    x	         y_lower		    x	        V_upper (m/s)	x	        V_lower (m/s)
0	       -0.000364615		0	        -0.000364615		0	        17.93097878		0	        17.93097878
2.47936E-05	0.001093819		9.91744E-05	-0.001822825		2.47936E-05	19.02866259		9.91744E-05	16.70059879
0.000198349	0.002551509		0.000322317	-0.003279944		0.000198349	19.97022784		0.000322317	15.36912489
0.000495872	0.004007636		0.000694221	-0.004734833		0.000495872	20.74319165		0.000694221	13.97311705
0.000917363	0.005461285		0.001190092	-0.006186993		0.000917363	21.34642827		0.001190092	12.54926293
0.001487616	0.00691171		0.001809932	-0.007635187		0.001487616	21.78875857		0.001809932	11.13112753
0.002181836	0.008357424		0.00255374	-0.00907867		    0.002181836	22.08574201		0.00255374	9.746507067
0.003000025	0.00979818		0.003446309	-0.010516451		0.003000025	22.25713369		0.003446309	8.416293721
0.003942181	0.011232737		0.004462847	-0.011947537		0.003942181	22.32375416		0.004462847	7.154648838
0.005033099	0.012660353		0.005628146	-0.013371185		0.005033099	22.30582883		0.005628146	5.969840869
0.006247986	0.014080034		0.006917413	-0.014786651		0.006247986	22.22206111		0.006917413	4.86538796
0.00758684	0.015490789		0.008330647	-0.016192696		0.00758684	22.08823216		0.008330647	3.841484088
0.009074455	0.016891875		0.00986785	-0.017588575		0.009074455	21.91757286		0.00986785	2.895686447
0.010686039	0.018282548		0.011529021	-0.018973793		0.010686039	21.72072743		0.011529021	2.02410474
0.01242159	0.019661815		0.013338953	-0.020346862		0.01242159	21.50604566		0.013338953	1.222292927
0.01428111	0.021028686		0.015272853	-0.021707287		0.01428111	21.28003759		0.015272853	0.484767986
0.016289391	0.022382664		0.017330722	-0.023054323		0.016289391	21.04827784		0.017330722	0.194935887
0.018396846	0.02372251		0.019512558	-0.024386978		0.018396846	20.81393764		0.019512558	0.818535277
0.020653063	0.025046488		0.021843156	-0.025703518		0.020653063	20.57984451		0.021843156	1.393197761
0.023033248	0.026358069		0.024272928	-0.027005182		0.023033248	20.34846432		0.024272928	1.923538406
0.025537401	0.027649815		0.026851462	-0.02828949		    0.025537401	20.12113317		0.026851462	2.412882094
0.028165522	0.028926685		0.029553963	-0.029556443		0.028165522	19.89849241		0.029553963	2.865484252
0.030942404	0.030183721		0.032355639	-0.03080604		    0.030942404	19.68146336		0.032355639	3.284204622
0.033818461	0.0314234		0.035306077	-0.032035802		0.033818461	19.47049049		0.035306077	3.672601258
0.03684328	0.032643245		0.038380482	-0.033245729		0.03684328	19.26551323		0.038380482	4.033112942
0.039967272	0.033840776		0.041578856	-0.034433342		0.039967272	19.06698718		0.041578856	4.368294862
0.043215233	0.035020951		0.044901198	-0.035601121		0.043215233	18.87458609		0.044901198	4.6803846
0.046611955	0.036176332		0.048347507	-0.036746585		0.046611955	18.68823159		0.048347507	4.971317733
0.050107852	0.037311879		0.051917784	-0.037869734		0.050107852	18.50783618		0.051917784	5.242899961
0.053727717	0.038422632		0.055587236	-0.038968091		0.053727717	18.33330303		0.055587236	5.496726298
0.057471549	0.039508591		0.05940545	-0.040044133		0.057471549	18.1642506		0.05940545	5.734282867
0.06133935	0.040572236		0.063322837	-0.041095381		0.06133935	18.00027778		0.063322837	5.956760865
0.065331118	0.041611088		0.067364193	-0.042119356		0.065331118	17.8415246		0.067364193	6.165468352
0.069446855	0.042622666		0.071529517	-0.043118538		0.069446855	17.68756625		0.071529517	6.361446376
0.073661766	0.043609451		0.075818808	-0.044090447		0.073661766	17.53824393		0.075818808	6.545532828
0.078000645	0.044566484		0.080207274	-0.045037562		0.078000645	17.39310208		0.080207274	6.718630813
0.082438698	0.045498723		0.084719708	-0.045954925		0.082438698	17.25195641		0.084719708	6.881569588
0.087025513	0.046403689		0.08935611	-0.046845015		0.087025513	17.11490578		0.08935611	7.035055082
0.091711502	0.047278903		0.094091687	-0.047705353		0.091711502	16.98146048		0.094091687	7.179693587
0.096496665	0.048124365		0.098926437	-0.048538418		0.096496665	16.85170615		0.098926437	7.316146527
0.101405797	0.048942553		0.103885156	-0.049339251		0.101405797	16.72513079		0.103885156	7.444864001
0.106414103	0.04972851		0.108967843	-0.050112811		0.106414103	16.60150596		0.108967843	7.566372975
0.111546376	0.050487194		0.114149704	-0.050854139		0.111546376	16.48120141		0.114149704	7.681145748
0.116777825	0.051213646		0.119430739	-0.051563236		0.116777825	16.36337374		0.119430739	7.789608463
0.122133241	0.051907867		0.124835742	-0.05224506		    0.122133241	16.24838454		0.124835742	7.892084642
